"jointType","x","y","z","time"
9,0.116189681,-0.2732075,2.01828527,6
10,0.160617366,-0.3022472,1.83202708,6
11,0.167426243,-0.292469174,1.7634685,6
12,-0.148943752,-0.463009864,1.98219347,6
13,-0.09317261,-0.7351628,1.91319931,6
14,-0.11918433,-1.01716554,1.9850167,6
15,-0.0481203347,-1.01888967,1.8640902,6
16,-0.015576493,-0.458829761,1.97834492,6
17,-0.07847653,-0.767818749,1.9088434,6
18,-0.030220544,-1.00387418,1.89126277,6
19,-0.0568674952,-1.07366812,1.85345829,6
20,-0.07122527,-0.012302516,2.14059448,6
21,-0.2759796,-0.568074167,1.929707,6
22,-0.245535061,-0.5085382,1.93486953,6
23,0.183542088,-0.2947861,1.72927058,6
24,0.143286258,-0.2736841,1.75630772,6
0,-0.1078561,-0.48331967,2.103536,7
1,-0.1081042,-0.220272839,2.18212819,7
2,-0.107944146,0.0364202,2.24876451,7
3,-0.09714997,0.160501227,2.280736,7
4,-0.253578037,-0.0828654841,2.21904755,7
5,-0.31505686,-0.304077,2.19056845,7
6,-0.346027732,-0.4611272,2.08438253,7
7,-0.3484641,-0.51001054,2.0370245,7
8,0.03702317,-0.08484381,2.18310928,7
9,0.1527997,-0.241868258,2.11885953,7
10,0.310835719,-0.166583747,1.98784745,7
11,0.3611899,-0.118230544,1.95434821,7
12,-0.172554612,-0.477177918,2.073519,7
13,-0.14142938,-0.804890633,2.03344941,7
14,-0.1142743,-1.0414356,2.04257035,7
15,-0.0607382171,-1.03478968,1.90552,7
16,-0.0398975126,-0.474947751,2.07023144,7
17,-0.08231553,-0.754279,1.96937084,7
18,-0.04286944,-0.984640539,1.90541434,7
19,-0.04396678,-0.990646243,1.77420688,7
20,-0.10805966,-0.0269670039,2.23422718,7
21,-0.356196523,-0.5717976,2.00394154,7
22,-0.311235517,-0.5185771,2.016488,7
23,0.4002991,-0.086042285,1.90305746,7
24,0.3325055,-0.09536471,1.92430007,7
0,-0.08920425,-0.48562026,2.12105942,8
1,-0.0877818838,-0.22134535,2.19928837,8
2,-0.08568545,0.0364884,2.26650333,8
3,-0.06803711,0.156865224,2.307391,8
4,-0.230949968,-0.07113558,2.219931,8
5,-0.427930683,-0.114357017,2.12786222,8
6,-0.536282539,-0.0165270045,1.97699344,8
7,-0.581953466,0.03475386,1.92282009,8
8,0.077088356,-0.09241629,2.20810318,8
9,0.248449966,-0.1614698,2.171871,8
10,0.393172264,-0.0953470543,2.06730843,8
11,0.429385573,-0.0734778047,2.02933955,8
12,-0.153613508,-0.47756055,2.08914137,8
13,-0.0771801546,-0.7615978,2.0022378,8
14,-0.10758204,-1.0526073,2.03660512,8
15,-0.0450199246,-1.02640581,1.90496171,8
16,-0.022019159,-0.479483932,2.09091544,8
17,-0.07113302,-0.7631945,1.99275887,8
18,-0.0334505737,-1.00262845,1.9243021,8
19,-0.0256200116,-1.00651383,1.793098,8
20,-0.08615465,-0.0272278432,2.25178647,8
21,-0.611980736,0.076745756,1.87029636,8
22,-0.542897046,0.0298567619,1.86881816,8
23,0.471906871,-0.0415419042,1.97745645,8
24,0.402380854,-0.06362636,1.98623109,8
0,-0.0523564257,-0.489151925,2.14282632,9
1,-0.0556959324,-0.222631738,2.2117908,9
2,-0.0585226268,0.0376090333,2.26812148,9
3,-0.03987877,0.162439644,2.2957375,9
4,-0.198504031,-0.0786082149,2.235414,9
5,-0.24950245,-0.303188324,2.19208932,9
6,-0.253444076,-0.462356836,2.08913,9
7,-0.248964548,-0.5165658,2.04778385,9
8,0.09273134,-0.0869417638,2.22747469,9
9,0.174271032,-0.272242844,2.19930649,9
10,0.297876865,-0.277185023,2.05088162,9
11,0.3303309,-0.280214638,1.97736812,9
12,-0.11726252,-0.4823875,2.10678744,9
13,-0.100819096,-0.804949164,2.05429339,9
14,-0.08385864,-1.07970178,2.0499115,9
15,-0.0797299743,-1.11051822,1.92730939,9
16,0.0141546261,-0.481421739,2.115365,9
17,0.0161030851,-0.78153336,2.00976157,9
18,0.0403502136,-1.03922021,2.001993,9
19,0.0143329725,-1.1042515,1.9425863,9
20,-0.05788733,-0.02668128,2.25624657,9
21,-0.245428428,-0.572804,2.01683879,9
22,-0.209241986,-0.527210653,2.03591681,9
23,0.361046672,-0.2727692,1.92728353,9
24,0.3043738,-0.265458733,1.94630015,9
0,-0.00663609756,-0.4827026,2.10355282,10
1,-0.000346780173,-0.215062454,2.17609048,10
2,0.00503762066,0.04574683,2.23671985,10
3,0.030436622,0.168710709,2.27249455,10
4,-0.1403668,-0.07009328,2.2005825,10
5,-0.200100452,-0.289194316,2.153953,10
6,-0.226021081,-0.44808802,2.0527904,10
7,-0.228236884,-0.4981073,2.01730967,10
8,0.143873692,-0.08417986,2.188162,10
9,0.171938717,-0.26424852,2.136632,10
10,0.14655675,-0.290332168,1.93077028,10
11,0.139997065,-0.2429918,1.84742367,10
12,-0.0714784563,-0.473621577,2.07092285,10
13,-0.0148064876,-0.7885067,2.00555563,10
14,-0.03950676,-1.08524978,2.03433418,10
15,0.022622291,-1.11339355,1.95824826,10
16,0.0582919158,-0.47719,2.07255983,10
17,0.00144714874,-0.798297644,2.00694871,10
18,0.0220074058,-1.067618,2.00584722,10
19,-0.0236363336,-1.12843,1.96466446,10
20,0.00375148933,-0.0186315272,2.223689,10
21,-0.227913111,-0.5631098,1.98976088,10
22,-0.189861074,-0.5084638,1.9945,10
23,0.14339906,-0.240048423,1.81275582,10
24,0.100109935,-0.225653112,1.8656249,10
0,-0.0208256114,-0.4884707,2.105722,11
1,-0.0228621475,-0.2201244,2.1809988,11
2,-0.0243020914,0.0413213037,2.24420953,11
3,-0.00239114882,0.166394174,2.27833724,11
4,-0.159271747,-0.0745739862,2.19655585,11
5,-0.201525852,-0.301508427,2.12998343,11
6,-0.205585331,-0.457765937,2.02213144,11
7,-0.196709126,-0.505578339,1.98213184,11
8,0.120028995,-0.0851279646,2.20643067,11
9,0.18283838,-0.2951281,2.18410873,11
10,0.301639616,-0.187975526,2.03066826,11
11,0.3401326,-0.13647218,1.99491239,11
12,-0.08449741,-0.4819501,2.071082,11
13,-0.0120075746,-0.7947779,2.01324153,11
14,-0.0220836885,-1.0662688,2.02561235,11
15,0.02282603,-1.11791909,1.957955,11
16,0.0440049842,-0.480420858,2.076704,11
17,-0.00442644069,-0.8010114,2.01121974,11
18,0.017144179,-1.0663892,2.0058198,11
19,-0.0137362406,-1.13474584,1.96779788,11
20,-0.0238812882,-0.0232500583,2.23053885,11
21,-0.188627169,-0.56635195,1.95344222,11
22,-0.165188059,-0.4943081,1.95748472,11
23,0.37278536,-0.0945316255,1.95008171,11
24,0.3079118,-0.108046368,1.98395824,11
0,-0.02284927,-0.4867228,2.102097,12
1,-0.0165248215,-0.220374644,2.175378,12
2,-0.007513161,0.03892871,2.23489285,12
3,0.0133911381,0.16624862,2.26261926,12
4,-0.152878329,-0.0749083459,2.20919156,12
5,-0.20597221,-0.3030488,2.16561747,12
6,-0.233100191,-0.465290755,2.07253671,12
7,-0.225170329,-0.510709,2.03331971,12
8,0.12800087,-0.08653969,2.18429112,12
9,0.15184626,-0.302424818,2.13299131,12
10,0.286107,-0.299789518,1.97382414,12
11,0.321014673,-0.294954956,1.91419351,12
12,-0.08724124,-0.478259236,2.06995463,12
13,-0.0217585042,-0.7883924,2.01018882,12
14,-0.0401298553,-1.0683105,2.0299046,12
15,0.0208030976,-1.09443486,1.95024383,12
16,0.0419227853,-0.48001495,2.07061458,12
17,-0.0110933762,-0.798446059,2.00681686,12
18,0.0125767477,-1.06126058,2.00177121,12
19,-0.009154083,-1.12940967,1.9487406,12
20,-0.009867722,-0.0250713043,2.22222614,12
21,-0.2236826,-0.572979331,2.00657248,12
22,-0.192684546,-0.506588161,2.00811529,12
23,0.355359524,-0.2838055,1.86384785,12
24,0.3008414,-0.2681161,1.8784,12
0,-0.0273421984,-0.486753166,2.10990572,13
1,-0.0202018656,-0.221239462,2.18112683,13
2,-0.01350072,0.0376387425,2.24056649,13
3,0.00101262308,0.1653346,2.2635057,13
4,-0.164005265,-0.07849196,2.22209716,13
5,-0.207283691,-0.304261416,2.173507,13
6,-0.231368244,-0.4656159,2.077508,13
7,-0.22246623,-0.5157558,2.03949261,13
8,0.12397594,-0.0843674541,2.19035864,13
9,0.147477269,-0.297458947,2.1300385,13
10,0.2452298,-0.3313228,1.96713233,13
11,0.266057372,-0.32763198,1.892334,13
12,-0.09155239,-0.479627848,2.0790987,13
13,-0.0233749412,-0.794172168,2.012499,13
14,-0.04300154,-1.09842861,2.03330731,13
15,0.0241690241,-1.095465,1.94711339,13
16,0.0373342521,-0.479307622,2.07745624,13
17,-0.0122301551,-0.799602449,2.009728,13
18,0.0123452842,-1.06433511,2.003493,13
19,-0.03109955,-1.1263206,1.98950052,13
20,-0.0151296891,-0.0262720175,2.22787118,13
21,-0.221656278,-0.582307339,2.0190022,13
22,-0.188281357,-0.520290434,2.01260757,13
23,0.289341629,-0.325244933,1.84033287,13
24,0.259854048,-0.306762516,1.84612513,13
0,-0.0232021939,-0.488656372,2.11334085,14
1,-0.015254668,-0.2232684,2.18774915,14
2,-0.00719902,0.0356453322,2.25027084,14
3,0.008225203,0.163091451,2.27645183,14
4,-0.154410377,-0.0791623741,2.23082924,14
5,-0.197674558,-0.31096828,2.18219376,14
6,-0.220055491,-0.471109182,2.08331728,14
7,-0.209793821,-0.5245038,2.046632,14
8,0.128977224,-0.08881353,2.19184542,14
9,0.156289,-0.294084579,2.11261,14
10,0.216158986,-0.329771429,1.93172348,14
11,0.226848409,-0.334359139,1.86677253,14
12,-0.08678996,-0.482309759,2.08383465,14
13,-0.0134090343,-0.7991288,2.0168004,14
14,-0.0388142131,-1.10515022,2.038476,14
15,0.0294869319,-1.10853481,1.9554373,14
16,0.04108597,-0.480386823,2.079608,14
17,-0.008950075,-0.8021787,2.012243,14
18,0.0139198853,-1.06545222,2.005972,14
19,-0.0281796027,-1.12911522,1.98521221,14
20,-0.009213562,-0.0282900389,2.236782,14
21,-0.206280529,-0.5844149,2.02215028,14
22,-0.181064546,-0.515937567,2.01958084,14
23,0.243124455,-0.333490819,1.81807029,14
24,0.19002074,-0.318038017,1.86954558,14
0,-0.0247319713,-0.4886712,2.1062696,15
1,-0.02395911,-0.222950011,2.17999887,15
2,-0.0236320458,0.03649372,2.24073243,15
3,-0.00736066326,0.165320382,2.26191616,15
4,-0.168707266,-0.08034596,2.21871138,15
5,-0.228883713,-0.295202941,2.1788497,15
6,-0.234034076,-0.454365045,2.068877,15
