time,value
0.020787,0.42544044362461103
0.002951,0.3776519880698925
0.004304,0.42544044362461103
0.002645,0.3776519880698925
0.004541,0.42544044362461103
0.002768,0.3776519880698925
0.004259,0.42544044362461103
0.002711,0.3776519880698925
0.00429,0.42544044362461103
0.002658,0.3776519880698925
0.004203,0.42544044362461103
0.003229,0.3776519880698925
0.004198,0.42544044362461103
0.002724,0.3776519880698925
0.004375,0.42544044362461103
0.002839,0.3776519880698925
0.00421,0.42544044362461103
0.002675,0.3776519880698925
0.004168,0.42544044362461103
0.002598,0.3776519880698925
0.004302,0.42544044362461103
0.002984,0.3776519880698925
0.004132,0.42544044362461103
0.002668,0.3776519880698925
0.007934,0.42544044362461103
0.00638,0.3776519880698925
0.004145,0.42544044362461103
0.002714,0.3776519880698925
2.008269,0.42544044362461103
2.007321,0.3776519880698925
2.007816,0.42544044362461103
2.006851,0.3776519880698925
2.008101,0.42544044362461103
