time,value
1.00228,0.5
1.002109,0.5
1.002088,1
1.004272,1
1.002103,0.5
1.002197,1
1.002204,1
1.006368,1
1.014,0.5
1.00395,1
1.004291,0.5
1.011107,0.5
1.003616,0.5
1.004844,1
1.005233,1
1.011496,0.5
1.004225,0.5
1.004436,0.5
1.004844,0.5
1.002581,0.5
1.003468,1
1.0046,0.5
1.002765,0.5
1.003919,1
1.002422,0.5
1.002141,0.5
1.002278,0.5
1.002335,0.5
1.002273,0.5
1.002343,1
1.004472,1
1.002224,0.5
1.002265,1
1.00197,1
1.007818,1
1.003723,0.5
1.004889,1
1.004896,0.5
1.009383,0.5
1.004691,0.5
1.005405,1
1.004831,1
1.002847,0.5
1.003527,1
